Id,Time[ns],SD card (SD mode): Raw bits,SD card (SD mode): Decoded bits,SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
317,344068400.00,0,,,,
318,344068416.00,0,,,,
319,344068440.00,0,,,,
320,344068480.00,0,,,,
321,344068520.00,0,,,,
322,344068544.00,0,,,,
323,344068560.00,0,,,,
324,344068584.00,0,,,,
325,344068600.00,0,,,,
326,344068624.00,0,,,,
327,344068640.00,0,,,,
328,344068664.00,0,,,,
329,344068704.00,0,,,CRC: 0x30,
330,344068744.00,1,,,,
331,344068848.00,1,,,,
332,344068888.00,0,,,,
333,344068928.00,0,,,,
334,344068968.00,0,,,,
335,344069008.00,0,,,,
336,344069152.00,0,,,End bit,
337,347491472.00,0,,,Start bit,Response: R1
338,347491496.00,0,,,Transmission: card,
339,347491512.00,0,,,Command: GO_IDLE_STATE (0),
340,347491576.00,0,,,,
341,347491616.00,0,,,,
342,347491632.00,0,,,,
343,347491656.00,0,,,,
344,347491696.00,0,,,,
345,347491736.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
346,347491776.00,0,ADDRESS_ERROR,,,
347,347491800.00,0,BLOCK_LEN_ERROR,,,
348,347491816.00,0,ERASE_SEQ_ERROR,,,
349,347491840.00,0,ERASE_PARAM,,,
350,347491856.00,0,WP_VIOLATION,,,
351,347491880.00,0,CARD_IS_LOCKED,,,
352,347491960.00,0,LOCK_UNLOCK_FAILED,,,
353,347492000.00,0,COM_CRC_ERROR,,,
354,347492040.00,0,ILLEGAL_COMMAND,,,
355,347492064.00,0,CARD_ECC_FAILED,,,
356,347492080.00,0,CC_ERROR,,,
357,347492104.00,0,ERROR,,,
358,347492144.00,0,Reserved,,,
359,347492184.00,0,Reserved for DEFERRED_RESPONSE,,,
360,347492224.00,0,CSD_OVERWRITE,,,
361,347492264.00,0,WP_ERASE_SKIP,,,
362,347492304.00,0,CARD_ECC_DISABLED,,,
363,347492344.00,0,ERASE_RESET,,,
364,347492368.00,0,CURRENT_STATE,,,
365,347492568.00,0,,,,
366,347492592.00,0,,,,
367,347492608.00,0,,,,
368,347492632.00,0,READY_FOR_DATA,,,
369,347492712.00,0,RSVD,,,
370,347492752.00,0,FX_EVENT,,,
371,347492792.00,0,APP_CMD,,,
372,347492832.00,0,Reserved for SDIO card,,,
373,347492856.00,0,AKE_SEQ_ERROR,,,
374,347492872.00,0,Reserved for application specific commands,,,
375,347492896.00,0,Reserved for manufacturer test mode,,,
376,347492936.00,0,,,,
377,347492976.00,0,,,CRC: 0x0,
378,347493016.00,0,,,,
379,347493056.00,0,,,,
380,347493080.00,0,,,,
381,347493120.00,0,,,,
382,347493160.00,0,,,,
383,347493240.00,0,,,,
384,347493280.00,0,,,End bit,
385,365268432.00,0,,,Start bit,CMD33 (ERASE_WR_BLK_END): CMD33
386,365268448.00,1,,,Transmission: host,
387,365268472.00,1,,,Command: ERASE_WR_BLK_END (33),
388,365268488.00,0,,,,
389,365268512.00,0,,,,
390,365268528.00,0,,,,
391,365268552.00,0,,,,
392,365268576.00,1,,,,
393,365268592.00,1,,,Argument: 0x88000000,
394,365268616.00,0,,,,
395,365268632.00,0,,,,
396,365268656.00,0,,,,
397,365268672.00,1,,,,
398,365268696.00,0,,,,
399,365268736.00,0,,,,
400,365268752.00,0,,,,
401,365268776.00,0,,,,
402,365268816.00,0,,,,
403,365268856.00,0,,,,
